Date,Calls,Query,Bookings Margin,Bookings Count,Issued Margin,Issued Count,Pending Margin,Pending Count,Same Month Margin,Same Month Count
24-Oct,2144,1322,203915.51,2378,103222.43,1485,37187.14,418,72456.87,1242
24-Sep,3019,1726,267271.62,3344,248262.04,3076,19755.56,250,137665.79,2351
24-Aug,3050,1671,256704,3132,281973.21,3004,16327.68,201,150603.57,2210
24-Jul,3407,2020,281738.28,3313,390071.72,3362,15730.81,197,159282.71,2324
24-Jun,2837,1863,252764.02,3052,295389.7,2870,1597.18,148,137362.87,2116
24-May,2664,2043,272921.8,3218,259963.97,2967,10071.98,163,131686.8,2224
24-Apr,3065,2153,300621.3,3135,250904.44,2882,13837.49,148,138947.13,2217
24-Mar,3140,2427,280267.53,3123,248846.81,2989,10363.33,148,139843.09,2240
24-Feb,3183,2516,298349.58,3305,244309.55,2922,11912.27,139,145112.9,2322
24-Jan,3765,3109,353645.62,3945,271895.54,3387,10327.55,152,191348.1,2875
23-Dec,3099,2267,211657.73,2412,272810.32,2650,8467.45,123,144230.64,1847
23-Nov,3309,2276,243174.35,3050,259656.08,3006,7658.54,128,141559.63,2274
23-Oct,3486,1762,244656.13,3121,251188.68,2921,6409.89,126,143774.44,2298
23-Sep,4320,1858,246429.85,3296,236686.66,3030,6796.95,124,143941.27,2466
23-Aug,4154,2062,206607.72,2867,220502.33,2681,8868.14,135,120358.76,2144
23-Jul,3999,2459,245940.59,2934,324593.34,2932,5997.72,115,152989.72,2242
23-Jun,3434,2166,211611.19,2771,261845.36,2656,6436.9,113,118069.1,2076
23-May,3619,1569,246654.3,2877,240691.48,2754,9526.48,108,130626,2147
23-Apr,3452,1353,229470.53,2663,206503.44,2498,7873.06,125,119738.82,1907
23-Mar,3950,1598,280238.72,3265,232780.5,2941,9908.96,166,140015.21,2372
23-Feb,3806,1552,245179.92,3052,203495.99,2787,6686.93,113,135976.66,2289
23-Jan,4473,1881,272147.12,3647,223237.43,3141,9993.83,166,155357.75,2720
22-Dec,3505,1497,254458.39,30360,242074.57,2322,5835.87,111,133162.61,1749
22-Nov,3637,1600,235107.45,2862,273341.09,2857,9458.37,150,156956.39,2200
22-Oct,3870,1469,232215.3,2993,229370.65,2764,6656.85,127,146392.97,2248
22-Sep,4548,1365,267316.63,2969,249512.71,2669,7771.74,138,167259.04,2203
22-Aug,4840,1366,245445.24,2638,241102.21,2426,8559.84,159,165921.82,1986
22-Jul,4582,1336,259387.34,2416,314470.92,2550,8839.29,123,189945.2,1836
22-Jun,3836,1249,239303.28,2337,263564.8,2462,5445.73,87,161948.12,1752
22-May,4075,1462,269999.77,2759,233184.15,2488,7568,109,169209.92,1958
22-Apr,3931,1502,248098.39,2657,206518.99,2957,5710.89,95,150150.6,1907
22-Mar,3476,1572,272749.92,3143,249725.76,2967,8894.6,134,184673.54,2346
22-Feb,3089,1244,244718.06,3062,198426.19,2623,6132.14,114,153867.93,2184
22-Jan,3150,1063,259302.43,3192,225349.4,2803,5369.65,93,189915.81,2479
21-Dec,3220,656,203000.05,2054,251573.13,2407,3255.06,46,178416.79,1755
21-Nov,3536,1339,232109.88,2736,238868.16,2595,8930.16,138,166806.79,2000
21-Oct,3890,1573,300345.93,3290,234220.2,2660,6635.96,126,206717.01,2377
